country,code,name
AD,AD-07,
AD,AD-02,
AD,AD-03,
AD,AD-08,
AD,AD-04,
AD,AD-05,
AD,AD-06,
AE,AE-AJ,
AE,AE-AZ,
AE,AE-FU,
AE,AE-SH,
AE,AE-DU,
AE,AE-RK,
AE,AE-UQ,
AF,AF-BDS,
AF,AF-BDG,
AF,AF-BGL,
AF,AF-BAL,
AF,AF-BAM,
AF,AF-DAY,
AF,AF-FRA,
AF,AF-FYB,
AF,AF-GHA,
AF,AF-GHO,
AF,AF-HEL,
AF,AF-HER,
AF,AF-JOW,
AF,AF-KAB,
AF,AF-KAN,
AF,AF-KAP,
AF,AF-KHO,
AF,AF-KDZ,
AF,AF-LAG,
AF,AF-LOG,
AF,AF-NAN,
AF,AF-NIM,
AF,AF-PIA,
AF,AF-PAR,
AF,AF-SAR,
AF,AF-TAK,
AF,AF-URU,
AG,AG-11,
AG,AG-03,
AG,AG-04,
AG,AG-06,
AG,AG-07,
AG,AG-08,
AI,AI-XX-1,
AL,AL-01,
AL,AL-09,
AL,AL-02,
AL,AL-03,
AL,AL-04,
AL,AL-05,
AL,AL-06,
AL,AL-07,
AL,AL-08,
AL,AL-10,
AL,AL-11,
AL,AL-12,
AM,AM-AG,Արագածոտն
AM,AM-AR,Արարատ
AM,AM-AV,Արմավիր
AM,AM-ER,Երևան
AM,AM-GR,Գեղարքունիք
AM,AM-KT,Կոտայք
AM,AM-LO,Լոռի
AM,AM-SH,Շիրակ
AM,AM-SU,Սյունիք
AM,AM-TV,Տավուշ
AM,AM-VD,Վայոց Ձոր
AO,AO-BGO,
AO,AO-BGU,
AO,AO-BIE,
AO,AO-CAB,
AO,AO-CCU,
AO,AO-CNO,
AO,AO-CUS,
AO,AO-CNN,
AO,AO-HUA,
AO,AO-HUI,
AO,AO-LUA,
AO,AO-LNO,
AO,AO-LSU,
AO,AO-MAL,
AO,AO-MOX,
AO,AO-NAM,
AO,AO-UIG,
AO,AO-ZAI,
AQ,AQ-XX-1,
AR,AR-B,
AR,AR-K,
AR,AR-H,
AR,AR-U,
AR,AR-C,
AR,AR-X,
AR,AR-W,
AR,AR-E,
AR,AR-P,
AR,AR-Y,
AR,AR-L,
AR,AR-F,
AR,AR-M,
AR,AR-N,
AR,AR-Q,
AR,AR-R,
AR,AR-A,
AR,AR-J,
AR,AR-D,
AR,AR-Z,
AR,AR-S,
AR,AR-G,
AR,AR-V,
AR,AR-T,
AS,AS-XX-1,
AS,AS-XX-2,
AT,AT-1,
AT,AT-2,
AT,AT-3,
AT,AT-4,
AT,AT-5,
AT,AT-6,
AT,AT-7,
AT,AT-8,
AT,AT-9,
AU,AU-ACT,
AU,AU-NSW,
AU,AU-NT,
AU,AU-QLD,
AU,AU-SA,
AU,AU-TAS,
AU,AU-VIC,
AU,AU-WA,
AW,AW-XX-1,
AX,AX-XX-1,
AX,AX-XX-2,
AX,AX-XX-3,
AX,AX-XX-4,
AX,AX-XX-5,
AX,AX-XX-6,
AX,AX-XX-7,
AX,AX-XX-8,
AZ,AZ-ABS,
AZ,AZ-AGC,
AZ,AZ-AGU,
AZ,AZ-AST,
AZ,AZ-BA,
AZ,AZ-BAL,
AZ,AZ-BAR,
AZ,AZ-BEY,
AZ,AZ-BIL,
AZ,AZ-CAL,
AZ,AZ-FUZ,
AZ,AZ-GAD,
AZ,AZ-GA,
AZ,AZ-GOR,
AZ,AZ-GOY,
AZ,AZ-GYG,
AZ,AZ-IMI,
AZ,AZ-ISM,
AZ,AZ-KUR,
AZ,AZ-LA,
AZ,AZ-MAS,
AZ,AZ-MI,
AZ,AZ-NA,
AZ,AZ-NX,
AZ,AZ-NEF,
AZ,AZ-OGU,
AZ,AZ-QAB,
AZ,AZ-QAX,
AZ,AZ-QAZ,
AZ,AZ-QBA,
AZ,AZ-QUS,
AZ,AZ-SAT,
AZ,AZ-SAB,
AZ,AZ-SAK,
AZ,AZ-SAL,
AZ,AZ-SMI,
AZ,AZ-SKR,
AZ,AZ-SMX,
AZ,AZ-SR,
AZ,AZ-SM,
AZ,AZ-TAR,
AZ,AZ-UCA,
AZ,AZ-XAC,
AZ,AZ-XVD,
AZ,AZ-YAR,
AZ,AZ-YEV,
AZ,AZ-ZAQ,
AZ,AZ-ZAR,
BA,BA-BRC,
BA,BA-BIH,
BA,BA-SRP,
BB,BB-01,
BB,BB-02,
BB,BB-03,
BB,BB-04,
BB,BB-05,
BB,BB-07,
BB,BB-08,
BB,BB-09,
BB,BB-10,
BB,BB-11,
BD,BD-A,
BD,BD-B,
BD,BD-C,
BD,BD-D,
BD,BD-E,
BD,BD-F,
BD,BD-G,
BE,BE-VAN,
BE,BE-WBR,
BE,BE-BRU,
BE,BE-WHT,
BE,BE-WLG,
BE,BE-VLI,
BE,BE-WLX,
BE,BE-WNA,
BE,BE-VOV,
BE,BE-VBR,
BE,BE-VWV,
BF,BF-BAM,
BF,BF-BAZ,
BF,BF-BLG,
BF,BF-BLK,
BF,BF-COM,
BF,BF-GAN,
BF,BF-GNA,
BF,BF-GOU,
BF,BF-HOU,
BF,BF-IOB,
BF,BF-KAD,
BF,BF-KEN,
BF,BF-KMP,
BF,BF-KOS,
BF,BF-KOT,
BF,BF-KOW,
BF,BF-LER,
BF,BF-LOR,
BF,BF-MOU,
BF,BF-NAO,
BF,BF-NAM,
BF,BF-NAY,
BF,BF-OUB,
BF,BF-OUD,
BF,BF-PAS,
BF,BF-PON,
BF,BF-SNG,
BF,BF-SMT,
BF,BF-SEN,
BF,BF-SIS,
BF,BF-SOM,
BF,BF-SOR,
BF,BF-TAP,
BF,BF-TUI,
BF,BF-YAT,
BF,BF-ZIR,
BF,BF-ZON,
BF,BF-ZOU,
BG,BG-01,
BG,BG-02,
BG,BG-08,
BG,BG-07,
BG,BG-26,
BG,BG-09,
BG,BG-10,
BG,BG-11,
BG,BG-12,
BG,BG-13,
BG,BG-14,
BG,BG-15,
BG,BG-16,
BG,BG-17,
BG,BG-18,
BG,BG-27,
BG,BG-19,
BG,BG-20,
BG,BG-21,
BG,BG-23,
BG,BG-22,
BG,BG-24,
BG,BG-25,
BG,BG-03,
BG,BG-04,
BG,BG-05,
BG,BG-06,
BG,BG-28,
BH,BH-13,
BH,BH-14,
BH,BH-15,
BH,BH-17,
BI,BI-BM,
BI,BI-CI,
BI,BI-GI,
BI,BI-KR,
BI,BI-KI,
BI,BI-MW,
BI,BI-NG,
BI,BI-RM,
BI,BI-RT,
BI,BI-RY,
BJ,BJ-AK,
BJ,BJ-AQ,
BJ,BJ-BO,
BJ,BJ-CO,
BJ,BJ-DO,
BJ,BJ-LI,
BJ,BJ-MO,
BJ,BJ-OU,
BJ,BJ-PL,
BJ,BJ-ZO,
BL,BL-XX-1,
BM,BM-XX-1,
BM,BM-XX-2,
BN,BN-BE,
BN,BN-BM,
BN,BN-TE,
BN,BN-TU,
BO,BO-H,
BO,BO-C,
BO,BO-B,
BO,BO-L,
BO,BO-O,
BO,BO-N,
BO,BO-P,
BO,BO-S,
BO,BO-T,
BQ,BQ-BO,
BQ,BQ-SA,
BQ,BQ-SE,
BR,BR-AC,
BR,BR-AL,
BR,BR-AP,
BR,BR-AM,
BR,BR-BA,
BR,BR-CE,
BR,BR-DF,
BR,BR-ES,
BR,BR-GO,
BR,BR-MA,
BR,BR-MT,
BR,BR-MS,
BR,BR-MG,
BR,BR-PA,
BR,BR-PB,
BR,BR-PR,
BR,BR-PE,
BR,BR-PI,
BR,BR-RN,
BR,BR-RS,
BR,BR-RJ,
BR,BR-RO,
BR,BR-RR,
BR,BR-SC,
BR,BR-SP,
BR,BR-SE,
BR,BR-TO,
BS,BS-BP,
BS,BS-CO,
BS,BS-FP,
BS,BS-EG,
BS,BS-HI,
BS,BS-LI,
BS,BS-NP,
BS,BS-NO,
BS,BS-NS,
BS,BS-NE,
BS,BS-SE,
BS,BS-WG,
BT,BT-33,
BT,BT-12,
BT,BT-22,
BT,BT-GA,
BT,BT-44,
BT,BT-42,
BT,BT-11,
BT,BT-43,
BT,BT-23,
BT,BT-45,
